,n_killed,n_injured,latitude,longitude,Year,Month,Day,labels
109022,1,0,37.0035,-76.3868,2016,1,7,0
135172,0,1,41.0319,-74.3031,2016,7,3,0
174721,1,0,38.7441,-90.3253,2017,3,6,0
221127,0,2,33.507,-81.8329,2017,11,5,0
1041,0,1,40.96,-81.4365,2014,1,2,0
189246,0,0,24.5725,-81.7368,2017,5,5,0
172426,0,0,39.3997,-92.4343,2017,2,6,0
138258,0,0,42.5,-92.3253,2016,7,7,0
196124,0,1,38.6694,-90.2191,2017,7,2,0
44950,0,1,30.214,-92.3744,2014,11,3,0
75239,1,0,39.9088,-83.796,2015,6,2,0
86529,0,0,40.1005,-82.4305,2015,8,2,0
55901,0,0,35.5142,-97.5724,2015,1,6,0
152743,0,1,43.1266,-87.9609,2016,10,1,0
169332,0,1,36.1407,-115.062,2017,1,1,0
14539,0,1,30.3441,-81.6772,2014,4,6,0
173630,1,0,25.8473,-80.2017,2017,2,6,0
56787,0,1,39.3032,-76.5462,2015,2,7,0
100704,0,0,40.9001,-74.0433,2015,11,6,0
152595,0,1,32.1034,-84.141,2016,10,7,0
19286,1,0,42.4146,-83.0761,2014,5,6,0
216595,0,2,29.9764,-90.0957,2017,11,4,0
5602,0,1,35.1089,-77.0543,2014,2,7,0
51354,1,1,34.0435,-81.1179,2014,12,6,0
33504,0,0,42.1675,-72.6192,2014,8,2,0
84425,0,0,33.453,-81.8549,2015,8,3,0
80108,0,0,33.6977,-84.0573,2015,7,5,0
230475,0,0,32.0603,-81.1054,2018,1,2,0
5675,0,0,41.173,-73.1576,2014,2,1,0
55269,1,0,40.6867,-73.9208,2015,1,1,0
81533,0,1,35.1035,-90.0289,2015,7,7,0
164658,0,0,35.0367,-90.0563,2017,1,1,0
106232,0,2,41.6302,-87.5651,2016,1,1,0
20690,1,0,42.3722,-83.2125,2014,6,1,0
122781,0,1,35.2277,-101.804,2016,4,1,0
35247,1,1,34.1214,-117.278,2014,9,6,0
204485,1,0,35.7503,-81.3039,2017,8,7,0
166270,0,0,27.1966,-80.2421,2017,1,4,0
150078,0,1,38.1777,-85.8619,2016,10,7,0
44215,0,1,33.8819,-118.353,2014,10,4,0
186688,0,0,33.0048,-82.4071,2017,5,5,0
138123,0,0,33.4251,-94.0477,2016,7,6,0
147865,0,1,39.8014,-86.211,2016,9,6,0
220947,0,1,40.7824,-73.1874,2017,11,4,0
178842,1,0,27.0114,-82.076,2017,3,4,0
99176,0,1,39.7899,-86.0934,2015,11,1,0
111556,2,1,34.1441,-87.9876,2016,2,4,0
131987,0,2,36.6586,-87.4026,2016,6,4,0
67314,0,0,47.0541,-122.834,2015,4,2,0
189872,0,1,42.3702,-85.1773,2017,5,1,0
166262,1,0,41.3121,-95.9661,2017,1,4,0
50679,0,0,41.1019,-81.4664,2014,12,7,0
1890,0,0,32.8257,-80.0397,2014,1,1,0
217599,0,1,38.6389,-90.1961,2017,11,3,0
67325,0,0,33.7701,-118.194,2015,4,2,0
203576,1,0,28.9915,-81.9792,2017,8,2,0
217191,0,1,39.068,-94.4992,2017,11,1,0
234997,0,0,41.7878,-72.6699,2018,3,5,0
59016,0,0,32.2133,-80.7293,2015,2,6,0
148392,0,0,36.2054,-83.2934,2016,9,3,0
69605,0,0,58.348,-134.52,2015,5,2,0
20057,0,1,43.1046,-87.9467,2014,6,4,0
103192,0,1,40.8938,-74.0716,2015,12,2,0
81803,0,0,30.2093,-97.6529,2015,7,1,0
18938,0,0,29.9557,-90.0726,2014,5,3,0
123200,1,0,39.2926,-76.6828,2016,4,3,0
82707,1,0,28.558,-81.734,2015,8,7,0
237622,0,1,42.2659,-83.1688,2018,3,1,0
8919,1,0,34.1304,-117.226,2014,3,4,0
189058,0,1,32.8508,-83.679,2017,5,4,0
93728,0,1,39.8515,-86.049,2015,10,7,0
37220,0,0,29.9134,-81.3236,2014,9,3,0
180777,0,0,29.714,-95.4973,2017,4,1,0
193237,0,1,41.8653,-87.7313,2017,6,6,0
179368,1,0,33.3067,-111.829,2017,4,7,0
194980,0,1,33.5209,-90.1553,2017,6,2,0
205743,1,0,37.7189,-122.436,2017,8,1,0
32538,0,0,36.1286,-86.7674,2014,8,4,0
213967,1,0,39.9322,-82.8625,2017,10,3,0
95867,2,0,38.1967,-85.7727,2015,10,7,0
131980,1,0,33.7659,-84.5331,2016,6,4,0
210172,0,1,30.5386,-91.1962,2017,9,1,0
218902,0,0,35.4197,-97.5434,2017,11,5,0
2899,0,1,41.1865,-73.1952,2014,1,1,0
23894,0,1,25.8636,-80.2687,2014,6,2,0
203762,0,2,35.2351,-80.773,2017,8,3,0
6802,0,1,36.1586,-86.8783,2014,2,5,0
71565,0,0,42.2682,-71.0942,2015,5,7,0
13847,0,1,36.5188,-79.771,2014,4,1,0
117992,0,1,29.4072,-98.66,2016,3,5,0
38058,1,0,41.7543,-87.6347,2014,9,1,0
206787,0,0,44.93,-92.2984,2017,9,1,0
67940,1,0,38.9613,-77.028,2015,5,6,0
227657,0,0,41.4413,-74.4127,2018,1,6,0
12656,0,0,36.8999,-76.2055,2014,4,5,0
177589,0,1,33.802,-117.968,2017,3,4,0
206754,0,0,41.1603,-73.2185,2017,9,7,0
50290,1,0,42.4664,-82.9011,2014,12,4,0
25073,0,1,32.6811,-97.3582,2014,7,2,0
193356,0,1,42.3052,-85.1995,2017,6,7,0
51841,0,0,30.2093,-97.6529,2014,12,2,0
124367,1,0,38.633,-77.3341,2016,5,4,0
62474,0,0,34.8331,-77.6034,2015,3,4,0
215906,0,0,38.8929,-76.9409,2017,10,7,0
34904,0,0,34.3081,-86.5011,2014,9,4,0
6137,0,0,43.1778,-87.9745,2014,2,5,0
237700,0,1,38.577,-90.2544,2018,3,1,0
1528,0,1,38.2379,-85.8238,2014,1,6,0
93491,0,0,40.4033,-86.8791,2015,10,5,0
20006,0,0,35.5459,-97.579,2014,6,3,0
51661,0,0,42.8837,-78.854,2014,12,1,0
